"┅"," ","━"," "," "," "," "," "," "," "," "," "," "," "," ","━","━","┿","╋","┅","┅","┿","╋","━","━","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","━","━","┿","╋","━","╋","┯","┳","┳","┯","┳","┳","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┯","┳","┳","┷","┻","┻","┿","╋","╋","┯","┯","┷","┷"," "," "," ","━","┷","━","┯","━","┻","━","┳","━","╈","━","╇"," "," ","▆","▆","▆","▆","▆","▇","▉"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┆"," "," "," "," "," "," ","⎡","⎣","⎤","⎦"," "," "," "," ","┼","┿","│","┃","┼","┿","┆","┇","┼","┿","│","┃","├","┝","┟","┢","┤","┥","┧","┪","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","│","┃","╪","┃","╞","┟","┢","╡","┧","┪","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","╪","╁","╈","╪","╀","╇","╪","╂","╋"," "," "," "," "," "," "," ","┤","│","├","│","┥","╿","┝","╽","┾","╽","┽","╿"," "," "," "," "," "," "," "," ","▉","▊","▋","▋","▋"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┇"," ","┃"," "," "," "," "," "," "," "," "," "," "," "," ","╂","╋","┃","┃","╂","╋","┇","┇","╂","╋","┃","┃","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┃","┃","╋","┃","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋"," "," "," "," "," "," "," ","┨","┃","┠","┃","┫","┃","┣","┃","╊","┃","╉","┃"," "," "," "," "," "," "," "," ","▉","▊","▊","▊","▊","▊"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┈"," ","─"," "," "," "," "," "," "," "," "," "," "," "," ","─","━","┼","╂","─","━","┼","╂","┈","┉","┼","╂","┬","┮","┰","┲","┬","┭","┰","┱","┴","┶","┸","┺","┴","┵","┸","┹","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","╌","╍","┼","╂","━","╫","┮","╥","┲","┭","╥","┱","┶","╨","┺","┵","╨","┹","┾","╫","╊","┽","╫","╉","┯","╥","┳","┷","╨","┻","┿","╫","╋","┬","┬"," "," "," "," "," ","─","┴","─","┬","╾","┸","╼","┰","╼","╁","╾","╀"," "," "," ","▅","▅","▅","▆","▇","▉"," "," "," "," "," "," "," "," "," ","▓"," "," "," "," "," "," "," "," "," "," "," "," "
"┉"," ","━"," "," "," "," "," "," "," "," "," "," "," "," ","━","━","┿","╋","━","━","┿","╋","┉","┉","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","━","━","┿","╋","━","╋","┯","┳","┳","┯","┳","┳","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┯","┳","┳","┷","┻","┻","┿","╋","╋","┯","┯","┷","┷"," "," "," ","━","┷","━","┯","━","┻","━","┳","━","╈","━","╇"," "," ","▆","▆","▆","▆","▆","▇","▉"," "," "," "," "," "," "," "," "," ","▓"," "," "," "," "," "," "," "," "," "," "," "," "
"┊"," "," "," "," "," "," ","⎡","⎣","⎤","⎦"," "," "," "," ","┼","┿","│","┃","┼","┿","│","┃","┼","┿","┊","┋","├","┝","┟","┢","┤","┥","┧","┪","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","│","┃","╪","┃","╞","┟","┢","╡","┧","┪","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","╪","╁","╈","╪","╀","╇","╪","╂","╋"," "," "," "," "," "," "," ","┤","│","├","│","┥","╿","┝","╽","┾","╽","┽","╿"," "," "," "," "," "," "," ","▇","▉","▊","▋","▋","▋"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┋"," ","┃"," "," "," "," "," "," "," "," "," "," "," "," ","╂","╋","┃","┃","╂","╋","┃","┃","╂","╋","┋","┋","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┃","┃","╋","┃","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋"," "," "," "," "," "," "," ","┨","┃","┠","┃","┫","┃","┣","┃","╊","┃","╉","┃"," "," "," "," "," "," "," ","▇","▉","▊","▊","▊","▊","▊"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┌"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","┬","┯","├","┠","┬","┯","├","┠","┬","┯","├","┠","┌","┍","┎","┏","┬","┭","┰","┱","├","┝","┞","┡","┼","┽","╀","╃","├","┝","┞","┟","┠","┡","┢","┣","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┬","┯","├","┠","┯","┠","┍","┎","┏","┭","┰","┱","┝","┞","┡","┽","╀","╃","┝","┠","┣","┽","╂","╉","┯","┰","┳","┿","╀","╇","┿","╂","╋","┌"," "," "," "," "," "," ","┬","├","┌","┌","┭","┞","┍","┎","┮","┟","┭","┞"," "," "," "," "," ","▅","▆","▇"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┍"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","┮","┯","┝","┣","┮","┯","┝","┣","┮","┯","┝","┣","┍","┍","┏","┏","┮","┯","┲","┳","┝","┝","┡","┡","┾","┿","╄","╇","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┮","┯","┮","┯","┲","┳","┲","┳","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┮","┯","┝","┣","┯","┣","┍","┏","┏","┯","┲","┳","┝","┡","┡","┿","╄","╇","┝","┣","┣","┿","╊","╋","┯","┲","┳","┿","╄","╇","┿","╊","╋","┍"," "," ","┝"," "," "," ","┮","┝","┍","┍","┯","┡","┍","┏","┮","┢","┯","┡"," "," "," "," "," "," ","▆","▇"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"┎"," ","┎"," "," "," "," "," "," "," "," "," "," "," "," ","┰","┳","┟","┠","┰","┳","┟","┠","┰","┳","┟","┠","┎","┏","┎","┏","┰","┱","┰","┱","┟","┢","┠","┣","╁","╅","╂","╉","┟","┢","┠","┟","┠","┣","┢","┣","╁","╅","╂","╁","╂","╉","╅","╉","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","┰","┳","┟","┠","┳","┠","┏","┎","┏","┱","┰","┱","┢","┠","┣","╅","╂","╉","┢","┠","┣","╅","╂","╉","┳","┰","┳","╈","╂","╋","╈","╂","╋","┎"," "," "," "," "," "," ","┰","┟","┎","┎","┱","┠","┏","┎","┲","┟","┱","┠"," "," "," "," "," ","▅","▆","▇"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
