"━","┐","┯"
"━","└","┷"
"━","┘","┷"
"━","┏","┳"
"━","┓","┳"
"━","┗","┻"
"━","┛","┻"
"━","┍","┯"
"━","┑","┯"
"━","┕","┷"
"━","┙","┷"
"━","┎","┳"
"━","┒","┳"
"━","┖","┻"
"━","┚","┻"
"━","╔","┳"
"━","╗","┳"
"━","╚","┻"
"━","╝","┻"
"━","╒","┯"
"━","╕","┯"
"━","╘","┷"
"━","╛","┷"
"━","╓","┳"
"━","╖","┳"
"━","╙","┻"
"━","╜","┻"
"━","╭","┯"
"━","╮","┯"
"━","╰","┷"
"━","╯","┷"
"━","┴","┷"
"━","┬","┯"
"━","┻","┻"
"━","┳","┳"
"━","╩","┻"
"━","╦","┳"
"━","┸","┻"
"━","┰","┳"
"━","┷","┷"
"━","┯","┯"
"━","╨","┻"
"━","╥","┳"
"━","╧","┷"
"━","╤","┯"
"━","┵","┷"
"━","┶","┷"
"━","┭","┯"
"━","┮","┯"
"━","┺","┻"
"━","┹","┻"
"━","┲","┳"
"━","┱","┳"
"━","├","┿"
"━","┤","┿"
"━","┣","╋"
"━","┫","╋"
"━","╠","╋"
"━","╣","╋"
"━","┝","┿"
"━","┥","┿"
"━","┠","╋"
"━","┨","╋"
"━","╟","╋"
"━","╢","╋"
"━","╞","┿"
"━","╡","┿"
"━","┟","╈"
"━","┧","╈"
"━","┞","╇"
"━","┦","╇"
"━","┢","╈"
"━","┪","╈"
"━","┡","╇"
"━","┩","╇"
"━","┼","┿"
"━","╋","╋"
"━","╬","╋"
"━","┿","┿"
"━","╂","╋"
"━","╪","┿"
"━","╫","╋"
"━","╀","╇"
"━","┾","┿"
"━","╁","╈"
"━","┽","┿"
"━","╈","╈"
"━","╉","╋"
"━","╇","╇"
"━","╊","╋"
"━","╄","╇"
"━","╃","╇"
"━","╆","╈"
"━","╅","╈"
"┈","┉","┉"
"┈","╌","╌"
"┈","╍","╍"
"┈","┄","─"
"┈","┅","━"
"┈","═","━"
"┈","╴","─"
"┈","-","─"
"┈","╶","─"
"┈","╸","╾"
"┈","╺","╼"
"┈","▃","▅"
"┈","▄","▅"
"┈","▅","▅"
"┈","▆","▆"
"┈","▇","▇"
"┈","╼","╼"
"┈","╾","╾"
"┈","│","┼"
"┈","┃","╂"
"┈","┊","┼"
"┈","┋","╂"
"┈","╎","┼"
"┈","╏","╂"
"┈","┆","┼"
"┈","┇","╂"
"┈","║","╫"
"┈","╵","┴"
"┈","╷","┬"
"┈","╹","┸"
"┈","╻","┰"
"┈","▉","▉"
"┈","╽","╁"
"┈","╿","╀"
"┈","┌","┬"
"┈","┐","┬"
"┈","└","┴"
