"╃","╃","╇","╃","╉","╃","╇","╃","╉","╃","╇","╃","╉","╃","╇","╉","╋","╃","╃","╉","╉","╃","╇","╃","╇","╃","╃","╃","╃","╃","╇","╃","╉","╉","╇","╋","╋","╃","╃","╃","╉","╉","╃","╉","╉","╃","╃","╇","╇","╉","╉","╋","╋","╃","╃","╇","╇","╃","╃","╇","╇","╃","╃","╇","╇","╃","╉","╉","╃","╇","╉","╋","╇","╋","╉","╋","╋","╃","╇","╃","╉","╇","╉","╇","╉","╋","╃","╉","╉","╇","╃","╇","╃","╃","╃","╇","╉","╋","╃","╉","╉","╇","╉","╋","╇","╃","╇","╇","╉","╋","╃","╃","╃","╃","╃","╃","╇","╉","╇","╉","╃","╃"
"╄","╄","╇","╄","╊","╄","╇","╄","╊","╄","╇","╄","╊","╄","╄","╊","╊","╄","╇","╊","╋","╄","╄","╄","╄","╄","╇","╄","╇","╄","╄","╄","╊","╊","╄","╊","╊","╄","╇","╄","╊","╊","╇","╋","╋","╄","╇","╄","╇","╊","╋","╊","╋","╄","╇","╄","╇","╄","╇","╄","╇","╄","╇","╄","╇","╄","╊","╊","╇","╄","╋","╊","╇","╋","╋","╊","╋","╄","╇","╄","╊","╇","╊","╄","╊","╊","╇","╊","╋","╄","╄","╄","╇","╄","╇","╄","╊","╊","╇","╊","╋","╇","╊","╋","╇","╄","╇","╇","╊","╋","╄","╄","╄","╄","╇","╄","╄","╊","╄","╊","╇","╄"
"╅","╅","╈","╅","╉","╅","╈","╅","╉","╅","╈","╅","╉","╅","╈","╅","╈","╅","╅","╅","╅","╅","╈","╉","╋","╅","╅","╉","╉","╅","╈","╉","╅","╉","╋","╈","╋","╅","╅","╉","╅","╉","╉","╅","╉","╅","╅","╈","╈","╅","╅","╈","╈","╅","╅","╈","╈","╉","╉","╋","╋","╅","╅","╈","╈","╉","╅","╉","╉","╋","╅","╈","╋","╈","╉","╋","╋","╅","╈","╅","╉","╈","╉","╈","╅","╈","╅","╅","╅","╈","╉","╋","╅","╉","╉","╈","╉","╋","╅","╉","╉","╈","╅","╈","╈","╉","╋","╈","╉","╋","╅","╅","╅","╅","╅","╉","╈","╅","╈","╅","╅","╉"
"╆","╆","╈","╆","╊","╆","╈","╆","╊","╆","╈","╆","╊","╆","╆","╆","╆","╆","╈","╆","╈","╆","╆","╊","╊","╆","╈","╊","╋","╆","╆","╊","╆","╊","╊","╆","╊","╆","╈","╊","╆","╊","╋","╈","╋","╆","╈","╆","╈","╆","╈","╆","╈","╆","╈","╆","╈","╊","╋","╊","╋","╆","╈","╆","╈","╊","╆","╊","╋","╊","╈","╆","╋","╈","╋","╊","╋","╆","╈","╆","╊","╈","╊","╆","╆","╆","╈","╆","╈","╆","╊","╊","╈","╊","╋","╆","╊","╊","╈","╊","╋","╈","╆","╈","╈","╊","╋","╈","╊","╋","╆","╆","╆","╆","╈","╊","╆","╆","╆","╆","╈","╊"
"╇","╇","╇","╇","╋","╇","╇","╇","╋","╇","╇","╇","╋","╇","╇","╋","╋","╇","╇","╋","╋","╇","╇","╇","╇","╇","╇","╇","╇","╇","╇","╇","╋","╋","╇","╋","╋","╇","╇","╇","╋","╋","╇","╋","╋","╇","╇","╇","╇","╋","╋","╋","╋","╇","╇","╇","╇","╇","╇","╇","╇","╇","╇","╇","╇","╇","╋","╋","╇","╇","╋","╋","╇","╋","╋","╋","╋","╇","╇","╇","╋","╇","╋","╇","╋","╋","╇","╋","╋","╇","╇","╇","╇","╇","╇","╇","╋","╋","╇","╋","╋","╇","╋","╋","╇","╇","╇","╇","╋","╋","╇","╇","╇","╇","╇","╇","╇","╋","╇","╋","╇","╇"
"╈","╈","╈","╈","╋","╈","╈","╈","╋","╈","╈","╈","╋","╈","╈","╈","╈","╈","╈","╈","╈","╈","╈","╋","╋","╈","╈","╋","╋","╈","╈","╋","╈","╋","╋","╈","╋","╈","╈","╋","╈","╋","╋","╈","╋","╈","╈","╈","╈","╈","╈","╈","╈","╈","╈","╈","╈","╋","╋","╋","╋","╈","╈","╈","╈","╋","╈","╋","╋","╋","╈","╈","╋","╈","╋","╋","╋","╈","╈","╈","╋","╈","╋","╈","╈","╈","╈","╈","╈","╈","╋","╋","╈","╋","╋","╈","╋","╋","╈","╋","╋","╈","╈","╈","╈","╋","╋","╈","╋","╋","╈","╈","╈","╈","╈","╋","╈","╈","╈","╈","╈","╋"
"╉","╉","╋","╉","╉","╉","╋","╉","╉","╉","╋","╉","╉","╉","╋","╉","╋","╉","╉","╉","╉","╉","╋","╉","╋","╉","╉","╉","╉","╉","╋","╉","╉","╉","╋","╋","╋","╉","╉","╉","╉","╉","╉","╉","╉","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╉","╉","╋","╉","╋","╋","╋","╉","╋","╋","╉","╋","╉","╉","╋","╉","╋","╉","╋","╉","╉","╉","╋","╉","╋","╉","╉","╉","╋","╉","╋","╉","╉","╉","╋","╉","╋","╋","╉","╋","╋","╉","╋","╉","╉","╉","╉","╉","╉","╋","╉","╋","╉","╉","╉"
"╊","╊","╋","╊","╊","╊","╋","╊","╊","╊","╋","╊","╊","╊","╊","╊","╊","╊","╋","╊","╋","╊","╊","╊","╊","╊","╋","╊","╋","╊","╊","╊","╊","╊","╊","╊","╊","╊","╋","╊","╊","╊","╋","╋","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╊","╊","╋","╊","╋","╊","╋","╋","╋","╊","╋","╊","╋","╊","╊","╋","╊","╊","╊","╊","╋","╊","╋","╊","╊","╊","╋","╊","╋","╊","╊","╊","╋","╊","╋","╋","╊","╋","╋","╊","╋","╋","╊","╋","╊","╊","╊","╊","╋","╊","╊","╊","╊","╊","╋","╊"
"╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋"
"╌","─","━","┼","╂","╌","━","┼","╂","╌","━","┼","╂","┬","┮","┰","┲","┬","┭","┰","┱","┴","┶","┸","┺","┴","┵","┸","┹","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","╌","╍","┼","╂","━","╂","┮","╥","┲","┭","╥","┱","┶","╨","┺","┵","╨","┹","┾","╂","╊","┽","╂","╉","┯","╥","┳","┷","╨","┻","┿","╫","╋","─","┴","─","┬","╾","┸","╼","┰","╼","╁","╾","╀"
"╍","╍","━","┿","╋","╍","━","┿","╋","╍","━","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","╍","╍","┿","╋","━","╋","┯","┳","┳","┯","┳","┳","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┯","┳","┳","┷","┻","┻","┿","╋","╋","╍","┷","╍","┯","━","┻","━","┳","━","╈","━","╇"
"╎","┼","┿","│","┃","┼","┿","│","┃","┼","┿","│","┃","├","┝","┟","┢","┤","┥","┧","┪","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","╎","╏","┿","┃","╞","┟","┢","╡","┧","┪","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","┿","╁","╈","┿","╀","╇","╪","╂","╋","┤","╎","├","│","┥","╿","┝","╽","┾","╽","┽","╿"
"╏","╂","╋","┃","┃","╂","╋","┃","┃","╂","╋","┃","┃","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","╏","╏","╋","┃","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋","┨","╏","┠","┃","┫","┃","┣","┃","╊","┃","╉","┃"
"═","━","━","╪","╋","━","━","╪","╋","━","━","╪","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","━","━","┿","╋","═","╬","╤","┳","╦","╤","┳","╦","╧","┻","╩","╧","┻","╩","╪","╋","╬","╪","╋","╬","╤","┳","╦","╧","┻","╩","╪","╋","╬","━","╧","━","╤","━","┻","━","┳","━","╈","━","╇"
"║","╫","╋","┃","┃","╫","╋","┃","┃","╫","╋","┃","┃","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┃","┃","╬","║","┣","╟","╠","┫","╢","╣","┣","╟","╠","┫","╢","╣","┣","╟","╠","┫","╢","╣","╋","╫","╬","╋","╫","╬","╋","╫","╬","╢","┃","╟","┃","┫","┃","┣","┃","╊","┃","╉","┃"
"╒","┮","┯","╞","┣","┮","┯","╞","┣","┮","┯","╞","┣","┍","┍","┏","┏","┮","┯","┲","┳","┝","┝","┡","┡","┾","┿","╄","╇","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┮","┯","┮","┯","┲","┳","┲","┳","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┮","┯","╞","┣","╤","┣","╒","┏","┏","╤","┲","┳","╞","┡","┡","╪","╄","╇","╞","┣","┣","╪","╊","╋","╤","┲","┳","╪","╄","╇","╪","╊","╋","┮","╞","┍","╒","┯","┡","┍","┏","┮","┢","┯","┡"
"╓","╥","┳","┟","┠","╥","┳","┟","┠","╥","┳","┟","┠","┎","┏","┎","┏","┰","┱","┰","┱","┟","┢","┠","┣","╁","╅","╂","╉","┟","┢","┠","┟","┠","┣","┢","┣","╁","╅","╂","╁","╂","╉","╅","╉","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╥","┳","┟","┠","┳","╟","┏","╓","┏","┱","╥","┱","┢","╟","┣","╅","╫","╉","┢","╟","┣","╅","╫","╉","┳","╥","┳","╈","╫","╋","╈","╫","╋","╥","┟","╓","┎","┱","┠","┏","┎","┲","┟","┱","┠"
"╔","┲","┳","┢","┣","┲","┳","┢","┣","┲","┳","┢","┣","┏","┏","┏","┏","┲","┳","┲","┳","┢","┢","┣","┣","╆","╈","╊","╋","┢","┢","┣","┢","┣","┣","┢","┣","╆","╈","╊","╆","╊","╋","╈","╋","┲","┳","┲","┳","┲","┳","┲","┳","╆","╈","╆","╈","╊","╋","╊","╋","╆","╈","╆","╈","╊","╆","╊","╋","╊","╈","╆","╋","╈","╋","╊","╋","┲","┳","┢","┣","╦","╠","┏","┏","╔","┳","┲","╦","┢","┣","╠","╈","╊","╬","┢","┣","╠","╈","╊","╬","┳","┲","╦","╈","╊","╬","╈","╊","╬","┲","┢","┏","┏","┳","┣","┏","┏","┲","┢","┳","┣"
"╕","┭","┯","╡","┫","┭","┯","╡","┫","┭","┯","╡","┫","┭","┯","┱","┳","┑","┑","┓","┓","┽","┿","╃","╇","┥","┥","┩","┩","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┭","┭","┯","┯","┱","┱","┳","┳","┽","┽","┿","┿","╃","╃","╇","╇","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┭","┯","╡","┫","╤","┫","╤","┱","┳","╕","┓","┓","╪","╃","╇","╡","┩","┩","╪","╉","╋","╡","┫","┫","╤","┱","┳","╪","╃","╇","╪","╉","╋","┑","╡","┭","╕","┑","┩","┯","┓","┯","┪","┭","┩"
"╖","╥","┳","┧","┨","╥","┳","┧","┨","╥","┳","┧","┨","┰","┲","┰","┲","┒","┓","┒","┓","╁","╆","╂","╊","┧","┪","┨","┫","╁","╆","╂","╁","╂","╊","╆","╊","┧","┪","┨","┧","┨","┫","┪","┫","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╥","┳","┧","┨","┳","╢","┲","╥","┲","┓","╖","┓","╆","╫","╊","┪","╢","┫","╆","╫","╊","┪","╢","┫","┳","╥","┳","╈","╫","╋","╈","╫","╋","╖","┧","╥","┒","┓","┨","┲","┒","┲","┧","┱","┨"
"╗","┱","┳","┪","┫","┱","┳","┪","┫","┱","┳","┪","┫","┱","┳","┱","┳","┓","┓","┓","┓","╅","╈","╉","╋","┪","┪","┫","┫","╅","╈","╉","╅","╉","╋","╈","╋","┪","┪","┫","┪","┫","┫","┪","┫","┱","┱","┳","┳","┱","┱","┳","┳","╅","╅","╈","╈","╉","╉","╋","╋","╅","╅","╈","╈","╉","╅","╉","╉","╋","╅","╈","╋","╈","╉","╋","╋","┱","┳","┪","┫","╦","╣","┳","┱","╦","┓","┓","╗","╈","╉","╬","┪","┫","╣","╈","╉","╬","┪","┫","╣","┳","┱","╦","╈","╉","╬","╈","╉","╬","┓","┪","┱","┓","┓","┫","┳","┓","┳","┪","┱","┫"
"╘","┶","┷","╞","┣","┶","┷","╞","┣","┶","┷","╞","┣","┝","┝","┢","┢","┾","┿","╆","╈","┕","┕","┗","┗","┶","┷","┺","┻","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┾","┿","┾","┿","╆","╈","╆","╈","┶","┷","┶","┷","┺","┻","┺","┻","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┶","┷","╞","┣","╧","┣","╞","┢","┢","╪","╆","╈","╘","┗","┗","╧","┺","┻","╞","┣","┣","╪","╊","╋","╪","╆","╈","╧","┺","┻","╪","╊","╋","┶","╘","┕","╞","┷","┗","┕","┢","┶","┢","┷","┡"
"╙","╨","┻","┞","┠","╨","┻","┞","┠","╨","┻","┞","┠","┞","┡","┠","┣","╀","╃","╂","╉","┖","┗","┖","┗","┸","┹","┸","┹","┞","┡","┞","┠","┠","┡","┣","┣","╀","╃","╀","╂","╂","╃","╉","╉","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╨","┻","┞","┠","┻","╟","┡","╟","┣","╃","╫","╉","┗","╙","┗","┹","╨","┹","┡","╟","┣","╃","╫","╉","╇","╫","╋","┻","╨","┻","╇","╫","╋","╨","┖","╙","┞","┹","┖","┗","┠","┺","┠","┹","┞"
"╚","┺","┻","┡","┣","┺","┻","┡","┣","┺","┻","┡","┣","┡","┡","┣","┣","╄","╇","╊","╋","┗","┗","┗","┗","┺","┻","┺","┻","┡","┡","┡","┣","┣","┡","┣","┣","╄","╇","╄","╊","╊","╇","╋","╋","╄","╇","╄","╇","╊","╋","╊","╋","┺","┻","┺","┻","┺","┻","┺","┻","╄","╇","╄","╇","╄","╊","╊","╇","╄","╋","╊","╇","╋","╋","╊","╋","┺","┻","┡","┣","╩","╠","┡","┣","╠","╇","╊","╬","┗","┗","╚","┻","┺","╩","┡","┣","╠","╇","╊","╬","╇","╊","╬","┻","┺","╩","╇","╊","╬","┺","┗","┗","┡","┻","┗","┗","┣","┺","┣","┻","┡"
"╛","┵","┷","╡","┫","┵","┷","╡","┫","┵","┷","╡","┫","┽","┿","╅","╈","┥","┥","┪","┪","┵","┷","┹","┻","┙","┙","┛","┛","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┽","┽","┿","┿","╅","╅","╈","╈","┵","┵","┷","┷","┹","┹","┻","┻","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┵","┷","╡","┫","╧","┫","╪","╅","╈","╡","┪","┪","╧","┹","┻","╛","┛","┛","╪","╉","╋","╡","┫","┫","╪","╅","╈","╧","┹","┻","╪","╉","╋","┙","╛","┵","╡","┙","┛","┷","┪","┷","┪","┵","┩"
"╜","╨","┻","┦","┨","╨","┻","┦","┨","╨","┻","┦","┨","╀","╄","╂","╊","┦","┩","┨","┫","┸","┺","┸","┺","┚","┛","┚","┛","╀","╄","╀","╂","╂","╄","╊","╊","┦","┩","┦","┨","┨","┩","┫","┫","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╨","┻","┦","┨","┻","╢","╄","╫","╊","┩","╢","┫","┺","╨","┺","┛","╜","┛","╄","╫","╊","┩","╢","┫","╇","╫","╋","┻","╨","┻","╇","╫","╋","╜","┚","╨","┦","┛","┚","┺","┨","┺","┨","┹","┦"
"╝","┹","┻","┩","┫","┹","┻","┩","┫","┹","┻","┩","┫","╃","╇","╉","╋","┩","┩","┫","┫","┹","┻","┹","┻","┛","┛","┛","┛","╃","╇","╃","╉","╉","╇","╋","╋","┩","┩","┩","┫","┫","┩","┫","┫","╃","╃","╇","╇","╉","╉","╋","╋","┹","┹","┻","┻","┹","┹","┻","┻","╃","╃","╇","╇","╃","╉","╉","╃","╇","╉","╋","╇","╋","╉","╋","╋","┹","┻","┩","┫","╩","╣","╇","╉","╬","┩","┫","╣","┻","┹","╩","┛","┛","╝","╇","╉","╬","┩","┫","╣","╇","╉","╬","┻","┹","╩","╇","╉","╬","┛","┛","┹","┩","┛","┛","┻","┫","┻","┫","┹","┩"
"╞","┾","┿","╞","┣","┾","┿","╞","┣","┾","┿","╞","┣","┝","┝","┢","┢","┾","┿","╆","╈","┝","┝","┡","┡","┾","┿","╄","╇","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┾","┿","┾","┿","╆","╈","╆","╈","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┾","┿","╞","┣","╪","┣","╞","┢","┢","╪","╆","╈","╞","┡","┡","╪","╄","╇","╞","┣","┣","╪","╊","╋","╪","╆","╈","╪","╄","╇","╪","╊","╋","┾","╞","┝","╞","┿","┡","┝","┢","┾","┢","┿","┡"
"╟","╫","╋","┠","┠","╫","╋","┠","┠","╫","╋","┠","┠","┠","┣","┠","┣","╂","╉","╂","╉","┠","┣","┠","┣","╂","╉","╂","╉","┠","┣","┠","┠","┠","┣","┣","┣","╂","╉","╂","╂","╂","╉","╉","╉","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┠","┠","╋","╟","┣","╟","┣","╉","╫","╉","┣","╟","┣","╉","╫","╉","┣","╟","┣","╉","╂","╉","╋","╫","╋","╋","╫","╋","╋","╫","╋","╫","┠","╟","┠","╉","┠","┣","┠","╊","┠","╉","┠"
"╠","╊","╋","┣","┣","╊","╋","┣","┣","╊","╋","┣","┣","┣","┣","┣","┣","╊","╋","╊","╋","┣","┣","┣","┣","╊","╋","╊","╋","┣","┣","┣","┣","┣","┣","┣","┣","╊","╋","╊","╊","╊","╋","╋","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╊","╊","╋","╊","╋","╊","╋","╋","╋","╊","╋","╊","╋","┣","┣","╬","╠","┣","┣","╠","╋","╊","╬","┣","┣","╠","╋","╊","╬","┣","┣","╠","╋","╊","╬","╋","╊","╬","╋","╊","╬","╋","╊","╬","╊","┣","┣","┣","╋","┣","┣","┣","╊","┣","╋","┣"
"╡","┽","┿","╡","┫","┽","┿","╡","┫","┽","┿","╡","┫","┽","┿","╅","╈","┥","┥","┪","┪","┽","┿","╃","╇","┥","┥","┩","┩","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┽","┽","┿","┿","╅","╅","╈","╈","┽","┽","┿","┿","╃","╃","╇","╇","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┽","┿","╡","┫","╪","┫","╪","╅","╈","╡","┪","┪","╪","╃","╇","╡","┩","┩","╪","╉","╋","╡","┫","┫","╪","╅","╈","╪","╃","╇","╪","╉","╋","┥","╡","┽","╡","┥","┩","┿","┪","┿","┪","┽","┩"
"╢","╫","╋","┨","┨","╫","╋","┨","┨","╫","╋","┨","┨","╂","╊","╂","╊","┨","┫","┨","┫","╂","╊","╂","╊","┨","┫","┨","┫","╂","╊","╂","╂","╂","╊","╊","╊","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┨","┨","╋","╢","╊","╫","╊","┫","╢","┫","╊","╫","╊","┫","╢","┫","╊","╂","╊","┫","╢","┫","╋","╫","╋","╋","╫","╋","╋","╫","╋","╢","┨","╫","┨","┫","┨","╊","┨","╊","┨","╉","┨"
"╣","╉","╋","┫","┫","╉","╋","┫","┫","╉","╋","┫","┫","╉","╋","╉","╋","┫","┫","┫","┫","╉","╋","╉","╋","┫","┫","┫","┫","╉","╋","╉","╉","╉","╋","╋","╋","┫","┫","┫","┫","┫","┫","┫","┫","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╉","╉","╋","╉","╋","╋","╋","╉","╋","╋","╉","╋","┫","┫","╬","╣","╋","╉","╬","┫","┫","╣","╋","╉","╬","┫","┫","╣","╋","╉","╬","┫","┫","╣","╋","╉","╬","╋","╉","╬","╋","╉","╬","┫","┫","╉","┫","┫","┫","╋","┫","╋","┫","╉","┫"
"╤","┯","┯","╪","╋","┯","┯","╪","╋","┯","┯","╪","╋","┯","┯","┳","┳","┯","┯","┳","┳","┿","┿","╇","╇","┿","┿","╇","╇","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┿","┿","┿","┿","╇","╇","╇","╇","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","┯","┯","┿","╋","╤","╋","╤","┳","┳","╤","┳","┳","╪","╇","╇","╪","╇","╇","╪","╋","╋","╪","╋","╋","╤","┳","┳","┿","╇","╇","╪","╋","╋","┯","╪","┯","╤","┯","╇","┯","┳","┯","╈","┯","╇"
"╥","╥","┳","╁","╂","╥","┳","╁","╂","╥","┳","╁","╂","┰","┲","┰","┲","┰","┱","┰","┱","╁","╆","╂","╊","╁","╅","╂","╉","╁","╆","╂","╁","╂","╊","╆","╊","╁","╅","╂","╁","╂","╉","╅","╉","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╥","┳","╁","╂","┳","╫","┲","╥","┲","┱","╥","┱","╆","╫","╊","╅","╫","╉","╆","╫","╊","╅","╫","╉","┳","╥","┳","╈","╫","╋","╈","╫","╋","╥","╁","╥","┰","┱","╂","┲","┰","┲","╁","┱","╂"
"╦","┳","┳","╈","╋","┳","┳","╈","╋","┳","┳","╈","╋","┳","┳","┳","┳","┳","┳","┳","┳","╈","╈","╋","╋","╈","╈","╋","╋","╈","╈","╋","╈","╋","╋","╈","╋","╈","╈","╋","╈","╋","╋","╈","╋","┳","┳","┳","┳","┳","┳","┳","┳","╈","╈","╈","╈","╋","╋","╋","╋","╈","╈","╈","╈","╋","╈","╋","╋","╋","╈","╈","╋","╈","╋","╋","╋","┳","┳","╈","╋","╦","╬","┳","┳","╦","┳","┳","╦","╈","╋","╬","╈","╋","╬","╈","╋","╬","╈","╋","╬","┳","┳","╦","╈","╋","╬","╈","╋","╬","┳","╈","┳","┳","┳","╋","┳","┳","┳","╈","┳","╋"
"╧","┷","┷","╪","╋","┷","┷","╪","╋","┷","┷","╪","╋","┿","┿","╈","╈","┿","┿","╈","╈","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","┿","┿","╈","╈","╈","╈","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","┷","┷","┿","╋","╧","╋","╪","╈","╈","╪","╈","╈","╧","┻","┻","╧","┻","┻","╪","╋","╋","╪","╋","╋","┿","╈","╈","╧","┻","┻","╪","╋","╋","┷","╧","┷","╪","┷","┻","┷","╈","┷","╈","┷","╇"
"╨","╨","┻","╀","╂","╨","┻","╀","╂","╨","┻","╀","╂","╀","╄","╂","╊","╀","╃","╂","╉","┸","┺","┸","┺","┸","┹","┸","┹","╀","╄","╀","╂","╂","╄","╊","╊","╀","╃","╀","╂","╂","╃","╉","╉","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╨","┻","╀","╂","┻","╫","╄","╫","╊","╃","╫","╉","┺","╨","┺","┹","╨","┹","╄","╫","╊","╃","╫","╉","╇","╫","╋","┻","╨","┻","╇","╫","╋","╨","┸","╨","╀","┹","┸","┺","╂","┺","╂","┹","╀"
