"┓","┱","┳","┪","┫","┱","┳","┪","┫","┱","┳","┪","┫","┱","┳","┱","┳","┓","┓","┓","┓","╅","╈","╉","╋","┪","┪","┫","┫","╅","╈","╉","╅","╉","╋","╈","╋","┪","┪","┫","┪","┫","┫","┪","┫","┱","┱","┳","┳","┱","┱","┳","┳","╅","╅","╈","╈","╉","╉","╋","╋","╅","╅","╈","╈","╉","╅","╉","╉","╋","╅","╈","╋","╈","╉","╋","╋","┱","┳","┪","┫","┳","┫","┳","┱","┳","┓","┓","┓","╈","╉","╋","┪","┫","┫","╈","╉","╋","┪","┫","┫","┳","┱","┳","╈","╉","╋","╈","╉","╋","┓","┪","┱","┓","┓","┫","┳","┓","┳","┪","┱","┫"
"└","┴","┷","├","┠","┴","┷","├","┠","┴","┷","├","┠","├","┝","┟","┢","┼","┽","╁","╅","└","┕","┖","┗","┴","┵","┸","┹","├","┝","┞","┟","┠","┡","┢","┣","┼","┽","╀","╁","╂","╃","╅","╉","┼","┽","┾","┿","╁","╅","╆","╈","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┴","┷","├","┠","┷","┠","┝","┟","┢","┽","╁","╅","┕","┖","┗","┵","┸","┹","┝","┠","┣","┽","╂","╉","┿","╁","╈","┷","┸","┻","┿","╂","╋","┴","└","└","├","┵","┖","┕","┟","┶","┟","┵","┞"
"┕","┶","┷","┝","┣","┶","┷","┝","┣","┶","┷","┝","┣","┝","┝","┢","┢","┾","┿","╆","╈","┕","┕","┗","┗","┶","┷","┺","┻","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┾","┿","┾","┿","╆","╈","╆","╈","┶","┷","┶","┷","┺","┻","┺","┻","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┶","┷","┝","┣","┷","┣","┝","┢","┢","┿","╆","╈","┕","┗","┗","┷","┺","┻","┝","┣","┣","┿","╊","╋","┿","╆","╈","┷","┺","┻","┿","╊","╋","┶","┕","┕","┝","┷","┗","┕","┢","┶","┢","┷","┡"
"┖","┸","┻","┞","┠","┸","┻","┞","┠","┸","┻","┞","┠","┞","┡","┠","┣","╀","╃","╂","╉","┖","┗","┖","┗","┸","┹","┸","┹","┞","┡","┞","┠","┠","┡","┣","┣","╀","╃","╀","╂","╂","╃","╉","╉","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","┸","┻","┞","┠","┻","┠","┡","┠","┣","╃","╂","╉","┗","┖","┗","┹","┸","┹","┡","┠","┣","╃","╂","╉","╇","╂","╋","┻","┸","┻","╇","╂","╋","┸","┖","┖","┞","┹","┖","┗","┠","┺","┠","┹","┞"
"┗","┺","┻","┡","┣","┺","┻","┡","┣","┺","┻","┡","┣","┡","┡","┣","┣","╄","╇","╊","╋","┗","┗","┗","┗","┺","┻","┺","┻","┡","┡","┡","┣","┣","┡","┣","┣","╄","╇","╄","╊","╊","╇","╋","╋","╄","╇","╄","╇","╊","╋","╊","╋","┺","┻","┺","┻","┺","┻","┺","┻","╄","╇","╄","╇","╄","╊","╊","╇","╄","╋","╊","╇","╋","╋","╊","╋","┺","┻","┡","┣","┻","┣","┡","┣","┣","╇","╊","╋","┗","┗","┗","┻","┺","┻","┡","┣","┣","╇","╊","╋","╇","╊","╋","┻","┺","┻","╇","╊","╋","┺","┗","┗","┡","┻","┗","┗","┣","┺","┣","┻","┡"
"┘","┴","┷","┤","┨","┴","┷","┤","┨","┴","┷","┤","┨","┼","┾","╁","╆","┤","┥","┧","┪","┴","┶","┸","┺","┘","┙","┚","┛","┼","┾","╀","╁","╂","╄","╆","╊","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┴","┷","┤","┨","┷","┨","┾","╁","╆","┥","┧","┪","┶","┸","┺","┙","┚","┛","┾","╂","╊","┥","┨","┫","┿","╁","╈","┷","┸","┻","┿","╂","╋","┘","┘","┴","┤","┙","┚","┶","┧","┶","┧","┵","┦"
"┙","┵","┷","┥","┫","┵","┷","┥","┫","┵","┷","┥","┫","┽","┿","╅","╈","┥","┥","┪","┪","┵","┷","┹","┻","┙","┙","┛","┛","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┽","┽","┿","┿","╅","╅","╈","╈","┵","┵","┷","┷","┹","┹","┻","┻","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┵","┷","┥","┫","┷","┫","┿","╅","╈","┥","┪","┪","┷","┹","┻","┙","┛","┛","┿","╉","╋","┥","┫","┫","┿","╅","╈","┷","┹","┻","┿","╉","╋","┙","┙","┵","┥","┙","┛","┷","┪","┷","┪","┵","┩"
"┚","┸","┻","┦","┨","┸","┻","┦","┨","┸","┻","┦","┨","╀","╄","╂","╊","┦","┩","┨","┫","┸","┺","┸","┺","┚","┛","┚","┛","╀","╄","╀","╂","╂","╄","╊","╊","┦","┩","┦","┨","┨","┩","┫","┫","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","┸","┻","┦","┨","┻","┨","╄","╂","╊","┩","┨","┫","┺","┸","┺","┛","┚","┛","╄","╂","╊","┩","┨","┫","╇","╂","╋","┻","┸","┻","╇","╂","╋","┚","┚","┸","┦","┛","┚","┺","┨","┺","┨","┹","┦"
"┛","┹","┻","┩","┫","┹","┻","┩","┫","┹","┻","┩","┫","╃","╇","╉","╋","┩","┩","┫","┫","┹","┻","┹","┻","┛","┛","┛","┛","╃","╇","╃","╉","╉","╇","╋","╋","┩","┩","┩","┫","┫","┩","┫","┫","╃","╃","╇","╇","╉","╉","╋","╋","┹","┹","┻","┻","┹","┹","┻","┻","╃","╃","╇","╇","╃","╉","╉","╃","╇","╉","╋","╇","╋","╉","╋","╋","┹","┻","┩","┫","┻","┫","╇","╉","╋","┩","┫","┫","┻","┹","┻","┛","┛","┛","╇","╉","╋","┩","┫","┫","╇","╉","╋","┻","┹","┻","╇","╉","╋","┛","┛","┹","┩","┛","┛","┻","┫","┻","┫","┹","┩"
"├","┼","┿","├","┠","┼","┿","├","┠","┼","┿","├","┠","├","┝","┟","┢","┼","┽","╁","╅","├","┝","┞","┡","┼","┽","╀","╃","├","┝","┞","┟","┠","┡","┢","┣","┼","┽","╀","╁","╂","╃","╅","╉","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","├","┠","┿","┠","┝","┟","┢","┽","╁","╅","┝","┞","┡","┽","╀","╃","┝","┠","┣","┽","╂","╉","┿","╁","╈","┿","╀","╇","┿","╂","╋","┼","├","├","├","┽","┞","┝","┟","┾","┟","┽","┞"
